experiment	Calibrators	samples 	replicates	gene	times	treatment	Ct
9		19	19_1	UBI3	02h	Control	18.25
9		20	20_1	UBI3	02h	Control	17.32
9		25	25_1	UBI3	06h	Control	19.17
9		26	26_1	UBI3	06h	Control	18.11
9		31	31_1	UBI3	24h	Control	18.6
9		32	32_1	UBI3	24h	Control	18.72
9	Calib	13	13_1	UBI3	24h	Control	18.29
9	Calib	13	13_3	UBI3	24h	Control	18.29
9		19	19_1	TD20	02h	Control	25.7
9		20	20_1	TD20	02h	Control	21.21
9		25	25_1	TD20	06h	Control	21.45
9		26	26_1	TD20	06h	Control	24.92
9		31	31_1	TD20	24h	Control	29.43
9		32	32_1	TD20	24h	Control	28.92
9	Calib	13	13_1	TD20	24h	Control	26.01
9		19	19_1	PPO0	02h	Control	22.9
9		20	20_1	PPO0	02h	Control	22.47
9		25	25_1	PPO0	06h	Control	24.84
9		26	26_1	PPO0	06h	Control	25.49
9		31	31_1	PPO0	24h	Control	25.97
9		32	32_1	PPO0	24h	Control	27.44
9	Calib	13	13_1	PPO0	24h	Control	25.89
9		19	19_1	ACO1	02h	Control	24.23
9		20	20_1	ACO1	02h	Control	20.59
9		25	25_1	ACO1	06h	Control	24.94
9		26	26_1	ACO1	06h	Control	23.43
9		31	31_1	ACO1	24h	Control	25.74
9		32	32_1	ACO1	24h	Control	25.75
9	Calib	13	13_1	ACO1	24h	Control	23.75
9		21	21_1	UBI3	02h	FLG22	18.4
9		22	22_1	UBI3	02h	FLG22	18.4
9		27	27_1	UBI3	06h	FLG22	17.59
9		28	28_1	UBI3	06h	FLG22	18.98
9		33	33_1	UBI3	24h	FLG22	18.15
9		34	34_1	UBI3	24h	FLG22	17.81
9	Calib	15	15_1	UBI3	24h	FLG22	18.4
9	Calib	15	15_3	UBI3	24h	FLG22	18.54
9		21	21_1	TD20	02h	FLG22	22.49
9		22	22_1	TD20	02h	FLG22	21.77
9		27	27_1	TD20	06h	FLG22	19.54
9		28	28_1	TD20	06h	FLG22	20.5
9		33	33_1	TD20	24h	FLG22	18.58
9		34	34_1	TD20	24h	FLG22	19.45
9	Calib	15	15_1	TD20	24h	FLG22	19.4
9		21	21_1	PPO0	02h	FLG22	19.09
9		22	22_1	PPO0	02h	FLG22	19.46
9		27	27_1	PPO0	06h	FLG22	18.91
9		28	28_1	PPO0	06h	FLG22	21.14
9		33	33_1	PPO0	24h	FLG22	23.26
9		34	34_1	PPO0	24h	FLG22	23.62
9	Calib	15	15_1	PPO0	24h	FLG22	23.39
9		21	21_1	ACO1	02h	FLG22	18.13
9		22	22_1	ACO1	02h	FLG22	18.01
9		27	27_1	ACO1	06h	FLG22	19.3
9		28	28_1	ACO1	06h	FLG22	20.59
9		33	33_1	ACO1	24h	FLG22	21.78
9		34	34_1	ACO1	24h	FLG22	22.52
9	Calib	15	15_1	ACO1	24h	FLG22	22.35
9		23	23_1	UBI3	02h	S2	17.96
9		24	24_1	UBI3	02h	S2	18.44
9		29	29_1	UBI3	06h	S2	17.27
9		30	30_1	UBI3	06h	S2	19.15
9		35	35_1	UBI3	24h	S2	17.85
9		36	36_1	UBI3	24h	S2	17.99
9	Calib	17	17_1	UBI3	24h	S2	17.46
9	Calib	17	17_3	UBI3	24h	S2	17.51
9		23	23_1	TD20	02h	S2	26.17
9		24	24_1	TD20	02h	S2	21.77
9		29	29_1	TD20	06h	S2	20.81
9		30	30_1	TD20	06h	S2	22.7
9		35	35_1	TD20	24h	S2	25.3
9		36	36_1	TD20	24h	S2	25.46
9	Calib	17	17_1	TD20	24h	S2	22.35
9		23	23_1	PPO0	02h	S2	21.45
9		24	24_1	PPO0	02h	S2	21.14
9		29	29_1	PPO0	06h	S2	20.96
9		30	30_1	PPO0	06h	S2	24.05
9		35	35_1	PPO0	24h	S2	24.06
9		36	36_1	PPO0	24h	S2	23.67
9	Calib	17	17_1	PPO0	24h	S2	22.67
9		23	23_1	ACO1	02h	S2	20.75
9		24	24_1	ACO1	02h	S2	20.08
9		29	29_1	ACO1	06h	S2	20
9		30	30_1	ACO1	06h	S2	23.32
9		35	35_1	ACO1	24h	S2	21.99
9		36	36_1	ACO1	24h	S2	21.32
9	Calib	17	17_1	ACO1	24h	S2	20.21
10		19	19_2	UBI3	02h	Control	18.3
10		20	20_2	UBI3	02h	Control	17.4
10		25	25_2	UBI3	06h	Control	19.13
10		26	26_2	UBI3	06h	Control	18.19
10		31	31_2	UBI3	24h	Control	18.62
10		32	32_2	UBI3	24h	Control	18.62
10	Calib	13	13_2	UBI3	24h	Control	18.34
10	Calib	13	13_4	UBI3	24h	Control	18.38
10		19	19_2	TD20	02h	Control	25.72
10		20	20_2	TD20	02h	Control	21.13
10		25	25_2	TD20	06h	Control	21.67
10		26	26_2	TD20	06h	Control	25.16
10		31	31_2	TD20	24h	Control	30.02
10		32	32_2	TD20	24h	Control	29.22
10	Calib	13	13_2	TD20	24h	Control	26.01
10		19	19_2	PPO0	02h	Control	23
10		20	20_2	PPO0	02h	Control	22.53
10		25	25_2	PPO0	06h	Control	25.08
10		26	26_2	PPO0	06h	Control	25.77
10		31	31_2	PPO0	24h	Control	26.19
10		32	32_2	PPO0	24h	Control	27.69
10	Calib	13	13_2	PPO0	24h	Control	25.69
10		19	19_2	ACO1	02h	Control	24.09
10		20	20_2	ACO1	02h	Control	20.67
10		25	25_2	ACO1	06h	Control	25
10		26	26_2	ACO1	06h	Control	23.62
10		31	31_2	ACO1	24h	Control	25.8
10		32	32_2	ACO1	24h	Control	25.85
10	Calib	13	13_2	ACO1	24h	Control	24.63
10		21	21_2	UBI3	02h	FLG22	18.47
10		22	22_2	UBI3	02h	FLG22	18.48
10		27	27_2	UBI3	06h	FLG22	17.73
10		28	28_2	UBI3	06h	FLG22	19.03
10		33	33_2	UBI3	24h	FLG22	18.21
10		34	34_2	UBI3	24h	FLG22	17.88
10	Calib	15	15_2	UBI3	24h	FLG22	18.39
10	Calib	15	15_4	UBI3	24h	FLG22	18.55
10		21	21_2	TD20	02h	FLG22	22.54
10		22	22_2	TD20	02h	FLG22	21.73
10		27	27_2	TD20	06h	FLG22	19.59
10		28	28_2	TD20	06h	FLG22	20.57
10		33	33_2	TD20	24h	FLG22	18.62
10		34	34_2	TD20	24h	FLG22	19.42
10	Calib	15	15_2	TD20	24h	FLG22	19.38
10		21	21_2	PPO0	02h	FLG22	19.22
10		22	22_2	PPO0	02h	FLG22	19.51
10		27	27_2	PPO0	06h	FLG22	19.05
10		28	28_2	PPO0	06h	FLG22	21.24
10		33	33_2	PPO0	24h	FLG22	23.37
10		34	34_2	PPO0	24h	FLG22	23.88
10	Calib	15	15_2	PPO0	24h	FLG22	23.52
10		21	21_2	ACO1	02h	FLG22	18.19
10		22	22_2	ACO1	02h	FLG22	18.12
10		27	27_2	ACO1	06h	FLG22	19.34
10		28	28_2	ACO1	06h	FLG22	20.8
10		33	33_2	ACO1	24h	FLG22	21.96
10		34	34_2	ACO1	24h	FLG22	22.57
10	Calib	15	15_2	ACO1	24h	FLG22	22.42
10		23	23_2	UBI3	02h	S2	18
10		24	24_2	UBI3	02h	S2	18.38
10		29	29_2	UBI3	06h	S2	17.33
10		30	30_2	UBI3	06h	S2	19.12
10		35	35_2	UBI3	24h	S2	17.73
10		36	36_2	UBI3	24h	S2	18.01
10	Calib	17	17_2	UBI3	24h	S2	17.7
10	Calib	17	17_4	UBI3	24h	S2	17.75
10		23	23_2	TD20	02h	S2	26.06
10		24	24_2	TD20	02h	S2	21.85
10		29	29_2	TD20	06h	S2	20.85
10		30	30_2	TD20	06h	S2	22.65
10		35	35_2	TD20	24h	S2	25.18
10		36	36_2	TD20	24h	S2	25.25
10	Calib	17	17_2	TD20	24h	S2	22.3
10		23	23_2	PPO0	02h	S2	21.55
10		24	24_2	PPO0	02h	S2	21.35
10		29	29_2	PPO0	06h	S2	21.45
10		30	30_2	PPO0	06h	S2	24.14
10		35	35_2	PPO0	24h	S2	24.07
10		36	36_2	PPO0	24h	S2	23.72
10	Calib	17	17_2	PPO0	24h	S2	22.75
10		23	23_2	ACO1	02h	S2	20.87
10		24	24_2	ACO1	02h	S2	20.12
10		29	29_2	ACO1	06h	S2	20.08
10		30	30_2	ACO1	06h	S2	23.37
10		35	35_2	ACO1	24h	S2	22.11
10		36	36_2	ACO1	24h	S2	21.29
10	Calib	17	17_2	ACO1	24h	S2	20.32
